"bylaw_id","highway","between","failed_reason","resaon"
6534,"Pembury Avenue","St. Leonard's Avenue and the north end of Pembury Avenue",4,"no int_id is not found for both intersections"
6545,"St. Leonard's Crescent","Dawlish Avenue (east intersection)/Fidelia Avenue and St. Leonard's Avenue",4,"no int_id is not found for both intersections"
6546,"St. Leonard's Avenue","Dawlish Avenue (west intersection) and St. Leonard's Avenue (west intersection)",4,"no int_id is not found for both intersections"
6552,"Wood Avenue","St. Aubyn's Crescent and Lawrence Avenue East",4,"no int_id is not found for both intersections"
6827,"Basil Johnston Terrace","The west end of Basil Johnston Terrace and Yonge Street",4,"no int_id is not found for both intersections"
6893,"Forthbridge Crescent","Heathrow Drive and Calvington Drive",4,"no int_id is not found for both intersections"
6939,"Leacrest Road","Bessborough Drive/Mallory Crescent (west intersection) and the east end of Leacrest Road",4,"no int_id is not found for both intersections"
6986,"St. Joseph Street","Queen's Park Crescent East and Bay Street",4,"no int_id is not found for both intersections"
323,"Belshaw Place","Dundas Street East and the west end of Belshaw Place",5,"the intersections could not be routed"
490,"Brahams Avenue","McNicoll Avenue and a point 365.7 metres south of McNicoll Avenue",5,"the intersections could not be routed"
941,"Crossen Drive","A point 15 metres south of Pleasant Avenue and a point 15 metres west Hilda Avenue",5,"the intersections could not be routed"
1108,"Donwoods Lane","Donwoods Drive and the east end of Donwoods Lane",5,"the intersections could not be routed"
1610,"Glengrove Avenue East","Yonge Street and the east end of Glengrove Avenue East",5,"the intersections could not be routed"
1666,"Governor's Bridge","Astley Avenue and a point 126.6 metres northeast of Astley Avenue",5,"the intersections could not be routed"
2175,"Kinsdale Lane","Kinsdale Boulevard and the west end of Kinsdale Lane",5,"the intersections could not be routed"
2418,"Main Street","A point 120 metres north of Danforth Avenue and a point 255.2 metres north of Danforth Avenue",5,"the intersections could not be routed"
2501,"Maxome Avenue","A point 150 metres south of Otonabee Avenue and a point 150 metres north of Otonabee Avenue",5,"the intersections could not be routed"
2525,"McKee Avenue","Doris Avenue and a point 150 metres east Kenneth Avenue",5,"the intersections could not be routed"
3002,"Primrose Avenue (TO)","Brandon Avenue and a point 132.7 metres south of Brandon Avenue",5,"the intersections could not be routed"
3102,"Reesor Road","Old Finch Avenue and a point 122 metres south Steeles Avenue East",5,"the intersections could not be routed"
3136,"Ridge Drive","Jane Street and a point 38.3 metres west",5,"the intersections could not be routed"
3263,"Royalcrest Road","A point 77 metres east of Cabernet Circle and a point 133 metres west of Cabernet Circle",5,"the intersections could not be routed"
3367,"Sewells Road","Steeles Avenue East and a point 625 metres south of Steeles Avenue East",5,"the intersections could not be routed"
3580,"Stephen Mews","Stephen Drive and the west end of Stephen Mews",5,"the intersections could not be routed"
4004,"William R. Allen Road (southbound)","Eglinton Avenue West and a point 600 metres north",5,"the intersections could not be routed"
4196,"Westgate Boulevard","Southbourne Avenue and the north end of Westgate Boulevard",5,"the intersections could not be routed"
4257,"Agnes Lane","Memory Lane and Queen Street East",5,"the intersections could not be routed"
5266,"Antler Street","Franklin Avenue and a point 100 metres west",5,"the intersections could not be routed"
5462,"Scrivener Square (east-west leg)","Yonge Street and Scrivener Square (north-south leg)",5,"the intersections could not be routed"
5925,"Redway Road","Millwood Road and a point 709.83 metres south",5,"the intersections could not be routed"
6075,"Glen Road (southerly leg)","Howard Street and a point 96.6 metres north",5,"the intersections could not be routed"
6133,"Arlington Avenue (east-west leg)","Arlington Avenue (north-south leg) and a point 39.9 metres southwest",5,"the intersections could not be routed"
